2025-08-07 04:14:01 | ERROR    | RunIT | error:133 | Failed to load config: Expecting ',' delimiter: line 29 column 2 (char 903)
2025-08-07 04:14:01 | INFO     | RunIT | info:111 | Loading package preview_RunIT@latest from C:\Users\Samah Ghonim\OneDrive\Desktop\RunIT CLI Tool Versions\RunIT-CLI-Tool-mainV1.3\RunIT-CLI-Tool-main\packages\preview_RunIT
2025-08-07 04:14:01 | INFO     | RunIT | info:111 | Added C:\Users\Samah Ghonim\OneDrive\Desktop\RunIT CLI Tool Versions\RunIT-CLI-Tool-mainV1.3\RunIT-CLI-Tool-main\packages\preview_RunIT to sys.path
2025-08-07 04:14:01 | INFO     | RunIT | info:111 | Current sys.path: ['C:\\Users\\Samah Ghonim\\OneDrive\\Desktop\\RunIT CLI Tool Versions\\RunIT-CLI-Tool-mainV1.3\\RunIT-CLI-Tool-main\\packages\\preview_RunIT', 'C:\\Users\\Samah Ghonim\\OneDrive\\Desktop\\RunIT CLI Tool Versions\\RunIT-CLI-Tool-mainV1.3\\RunIT-CLI-Tool-main', 'C:\\Users\\Samah Ghonim\\OneDrive\\Desktop\\RunIT CLI Tool Versions\\RunIT-CLI-Tool-mainV1.3\\RunIT-CLI-Tool-main', 'C:\\Python313\\python313.zip', 'C:\\Python313\\DLLs', 'C:\\Python313\\Lib', 'C:\\Python313', 'C:\\Python313\\Lib\\site-packages']
2025-08-07 04:14:01 | INFO     | RunIT | info:111 | Current working directory: C:\Users\Samah Ghonim\OneDrive\Desktop\RunIT CLI Tool Versions\RunIT-CLI-Tool-mainV1.3\RunIT-CLI-Tool-main
2025-08-07 04:14:01 | INFO     | RunIT | info:111 | Importing module preview
2025-08-07 04:14:01 | INFO     | RunIT | info:111 | Successfully imported preview
2025-08-07 04:14:01 | INFO     | RunIT | info:111 | Module attributes: ['HTMLPreviewer', 'Path', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'main', 'os', 'shutil', 'tempfile', 'webbrowser']
2025-08-07 04:14:01 | ERROR    | RunIT | error:133 | Module preview does not have handle_command function
2025-08-07 04:14:01 | INFO     | RunIT | info:111 | Loading package zen-mode_RunIT@latest from C:\Users\Samah Ghonim\OneDrive\Desktop\RunIT CLI Tool Versions\RunIT-CLI-Tool-mainV1.3\RunIT-CLI-Tool-main\packages\zen-mode_RunIT
2025-08-07 04:14:01 | INFO     | RunIT | info:111 | Added C:\Users\Samah Ghonim\OneDrive\Desktop\RunIT CLI Tool Versions\RunIT-CLI-Tool-mainV1.3\RunIT-CLI-Tool-main\packages\zen-mode_RunIT to sys.path
